CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster_group
1,Male,19,15,39,MeanShift(bandwidth=13)
2,Male,21,15,81,MeanShift(bandwidth=13)
3,Female,20,16,6,MeanShift(bandwidth=13)
4,Female,23,16,77,MeanShift(bandwidth=13)
5,Female,31,17,40,MeanShift(bandwidth=13)
6,Female,22,17,76,MeanShift(bandwidth=13)
7,Female,35,18,6,MeanShift(bandwidth=13)
8,Female,23,18,94,MeanShift(bandwidth=13)
9,Male,64,19,3,MeanShift(bandwidth=13)
10,Female,30,19,72,MeanShift(bandwidth=13)
11,Male,67,19,14,MeanShift(bandwidth=13)
12,Female,35,19,99,MeanShift(bandwidth=13)
13,Female,58,20,15,MeanShift(bandwidth=13)
14,Female,24,20,77,MeanShift(bandwidth=13)
15,Male,37,20,13,MeanShift(bandwidth=13)
16,Male,22,20,79,MeanShift(bandwidth=13)
17,Female,35,21,35,MeanShift(bandwidth=13)
18,Male,20,21,66,MeanShift(bandwidth=13)
19,Male,52,23,29,MeanShift(bandwidth=13)
20,Female,35,23,98,MeanShift(bandwidth=13)
21,Male,35,24,35,MeanShift(bandwidth=13)
22,Male,25,24,73,MeanShift(bandwidth=13)
23,Female,46,25,5,MeanShift(bandwidth=13)
24,Male,31,25,73,MeanShift(bandwidth=13)
25,Female,54,28,14,MeanShift(bandwidth=13)
26,Male,29,28,82,MeanShift(bandwidth=13)
27,Female,45,28,32,MeanShift(bandwidth=13)
28,Male,35,28,61,MeanShift(bandwidth=13)
29,Female,40,29,31,MeanShift(bandwidth=13)
30,Female,23,29,87,MeanShift(bandwidth=13)
31,Male,60,30,4,MeanShift(bandwidth=13)
32,Female,21,30,73,MeanShift(bandwidth=13)
33,Male,53,33,4,MeanShift(bandwidth=13)
34,Male,18,33,92,MeanShift(bandwidth=13)
35,Female,49,33,14,MeanShift(bandwidth=13)
36,Female,21,33,81,MeanShift(bandwidth=13)
37,Female,42,34,17,MeanShift(bandwidth=13)
38,Female,30,34,73,MeanShift(bandwidth=13)
39,Female,36,37,26,MeanShift(bandwidth=13)
40,Female,20,37,75,MeanShift(bandwidth=13)
41,Female,65,38,35,MeanShift(bandwidth=13)
42,Male,24,38,92,MeanShift(bandwidth=13)
43,Male,48,39,36,MeanShift(bandwidth=13)
44,Female,31,39,61,MeanShift(bandwidth=13)
45,Female,49,39,28,MeanShift(bandwidth=13)
46,Female,24,39,65,MeanShift(bandwidth=13)
47,Female,50,40,55,MeanShift(bandwidth=13)
48,Female,27,40,47,MeanShift(bandwidth=13)
49,Female,29,40,42,MeanShift(bandwidth=13)
50,Female,31,40,42,MeanShift(bandwidth=13)
51,Female,49,42,52,MeanShift(bandwidth=13)
52,Male,33,42,60,MeanShift(bandwidth=13)
53,Female,31,43,54,MeanShift(bandwidth=13)
54,Male,59,43,60,MeanShift(bandwidth=13)
55,Female,50,43,45,MeanShift(bandwidth=13)
56,Male,47,43,41,MeanShift(bandwidth=13)
57,Female,51,44,50,MeanShift(bandwidth=13)
58,Male,69,44,46,MeanShift(bandwidth=13)
59,Female,27,46,51,MeanShift(bandwidth=13)
60,Male,53,46,46,MeanShift(bandwidth=13)
61,Male,70,46,56,MeanShift(bandwidth=13)
62,Male,19,46,55,MeanShift(bandwidth=13)
63,Female,67,47,52,MeanShift(bandwidth=13)
64,Female,54,47,59,MeanShift(bandwidth=13)
65,Male,63,48,51,MeanShift(bandwidth=13)
66,Male,18,48,59,MeanShift(bandwidth=13)
67,Female,43,48,50,MeanShift(bandwidth=13)
68,Female,68,48,48,MeanShift(bandwidth=13)
69,Male,19,48,59,MeanShift(bandwidth=13)
70,Female,32,48,47,MeanShift(bandwidth=13)
71,Male,70,49,55,MeanShift(bandwidth=13)
72,Female,47,49,42,MeanShift(bandwidth=13)
73,Female,60,50,49,MeanShift(bandwidth=13)
74,Female,60,50,56,MeanShift(bandwidth=13)
75,Male,59,54,47,MeanShift(bandwidth=13)
76,Male,26,54,54,MeanShift(bandwidth=13)
77,Female,45,54,53,MeanShift(bandwidth=13)
78,Male,40,54,48,MeanShift(bandwidth=13)
79,Female,23,54,52,MeanShift(bandwidth=13)
80,Female,49,54,42,MeanShift(bandwidth=13)
81,Male,57,54,51,MeanShift(bandwidth=13)
82,Male,38,54,55,MeanShift(bandwidth=13)
83,Male,67,54,41,MeanShift(bandwidth=13)
84,Female,46,54,44,MeanShift(bandwidth=13)
85,Female,21,54,57,MeanShift(bandwidth=13)
86,Male,48,54,46,MeanShift(bandwidth=13)
87,Female,55,57,58,MeanShift(bandwidth=13)
88,Female,22,57,55,MeanShift(bandwidth=13)
89,Female,34,58,60,MeanShift(bandwidth=13)
90,Female,50,58,46,MeanShift(bandwidth=13)
91,Female,68,59,55,MeanShift(bandwidth=13)
